BlockSize,OutlierStatus,Variable,Comparison,ExperimentA,ExperimentB,N_A,N_B,Median_A,Median_B,Mean_A,Mean_B,CliffsDelta,MedianRatio_A_over_B
100.0,With_Outliers,Write Time (ms),purecap-benchmark ABI vs outside compartment,purecap-benchmark ABI,outside compartment,100,100,40.367,282.5825,40.36876000000001,282.58376999999996,-1.0,0.14285031804871143
100.0,With_Outliers,Write Time (ms),purecap ABI vs outside compartment,purecap ABI,outside compartment,100,100,283.225,282.5825,283.23856,282.58376999999996,1.0,1.0022736722903933
200.0,With_Outliers,Write Time (ms),purecap-benchmark ABI vs outside compartment,purecap-benchmark ABI,outside compartment,100,100,80.734,565.1635,80.73664000000001,565.1643300000001,-1.0,0.142850697187628
200.0,With_Outliers,Write Time (ms),purecap ABI vs outside compartment,purecap ABI,outside compartment,100,100,566.445,565.1635,566.45821,565.1643300000001,1.0,1.0022674854267837
300.0,With_Outliers,Write Time (ms),purecap-benchmark ABI vs outside compartment,purecap-benchmark ABI,outside compartment,100,100,121.10249999999999,847.7529999999999,121.10493000000001,847.75511,-1.0,0.1428511606564648
300.0,With_Outliers,Write Time (ms),purecap ABI vs outside compartment,purecap ABI,outside compartment,100,100,849.67,847.7529999999999,849.7048,847.75511,1.0,1.0022612718563073
400.0,With_Outliers,Write Time (ms),purecap-benchmark ABI vs outside compartment,purecap-benchmark ABI,outside compartment,100,100,161.47050000000002,1130.3294999999998,161.47229,1130.33018,-1.0,0.14285259298284264
400.0,With_Outliers,Write Time (ms),purecap ABI vs outside compartment,purecap ABI,outside compartment,100,100,1132.936,1130.3294999999998,1132.9826099999998,1130.33018,1.0,1.0023059647651416
500.0,With_Outliers,Write Time (ms),purecap-benchmark ABI vs outside compartment,purecap-benchmark ABI,outside compartment,100,100,201.837,1412.9045,201.84182999999993,1412.9073,-1.0,0.14285254240467066
500.0,With_Outliers,Write Time (ms),purecap ABI vs outside compartment,purecap ABI,outside compartment,100,100,1416.15,1412.9045,1416.19013,1412.9073,1.0,1.0022970413074628
600.0,With_Outliers,Write Time (ms),purecap-benchmark ABI vs outside compartment,purecap-benchmark ABI,outside compartment,100,100,242.207,1695.4915,242.21015,1695.4926699999999,-1.0,0.14285356193174661
600.0,With_Outliers,Write Time (ms),purecap ABI vs outside compartment,purecap ABI,outside compartment,100,100,1699.3955,1695.4915,1699.4535300000002,1695.4926699999999,1.0,1.0023025771583047
700.0,With_Outliers,Write Time (ms),purecap-benchmark ABI vs outside compartment,purecap-benchmark ABI,outside compartment,100,100,282.576,1978.0735,282.57863,1978.08302,-1.0,0.14285414571298793
700.0,With_Outliers,Write Time (ms),purecap ABI vs outside compartment,purecap ABI,outside compartment,100,100,1982.5720000000001,1978.0735,1982.6542799999997,1978.08302,1.0,1.0022741824305317
800.0,With_Outliers,Write Time (ms),purecap-benchmark ABI vs outside compartment,purecap-benchmark ABI,outside compartment,100,100,322.94550000000004,2260.6585,322.94745000000006,2260.6620199999998,-1.0,0.14285461514863923
800.0,With_Outliers,Write Time (ms),purecap ABI vs outside compartment,purecap ABI,outside compartment,100,100,2265.8559999999998,2260.6585,2265.90072,2260.6620199999998,1.0,1.002299108865846
900.0,With_Outliers,Write Time (ms),purecap-benchmark ABI vs outside compartment,purecap-benchmark ABI,outside compartment,100,100,363.312,2543.25,363.31474000000003,2543.2488399999997,-1.0,0.14285343556473018
900.0,With_Outliers,Write Time (ms),purecap ABI vs outside compartment,purecap ABI,outside compartment,100,100,2549.0654999999997,2543.25,2549.1148399999997,2543.2488399999997,1.0,1.0022866411088174
1000.0,With_Outliers,Write Time (ms),purecap-benchmark ABI vs outside compartment,purecap-benchmark ABI,outside compartment,100,100,403.6825,2825.8215,403.68477999999993,2825.822710000001,-1.0,0.14285491847238052
1000.0,With_Outliers,Write Time (ms),purecap ABI vs outside compartment,purecap ABI,outside compartment,100,100,2832.2664999999997,2825.8215,2832.3717300000008,2825.822710000001,1.0,1.0022807526943933
100.0,With_Outliers,Read Time (ms),purecap-benchmark ABI vs outside compartment,purecap-benchmark ABI,outside compartment,100,100,80.734,282.578,80.73737,282.58070000000004,-1.0,0.2857051858247988
100.0,With_Outliers,Read Time (ms),purecap ABI vs outside compartment,purecap ABI,outside compartment,100,100,283.1305,282.578,283.13293,282.58070000000004,1.0,1.0019552123661433
200.0,With_Outliers,Read Time (ms),purecap-benchmark ABI vs outside compartment,purecap-benchmark ABI,outside compartment,100,100,161.468,565.164,161.47168999999997,565.16329,-1.0,0.28570114161553106
200.0,With_Outliers,Read Time (ms),purecap ABI vs outside compartment,purecap ABI,outside compartment,100,100,566.2625,565.164,566.2688300000001,565.16329,1.0,1.0019436836033435
300.0,With_Outliers,Read Time (ms),purecap-benchmark ABI vs outside compartment,purecap-benchmark ABI,outside compartment,100,100,242.2045,847.744,242.20914000000005,847.7523199999999,-1.0,0.2857047646459308
300.0,With_Outliers,Read Time (ms),purecap ABI vs outside compartment,purecap ABI,outside compartment,100,100,849.377,847.744,849.3961600000001,847.7523199999999,1.0,1.001926289068398
400.0,With_Outliers,Read Time (ms),purecap-benchmark ABI vs outside compartment,purecap-benchmark ABI,outside compartment,100,100,322.9415,1130.323,322.94639,1130.32753,-1.0,0.28570727128440276
400.0,With_Outliers,Read Time (ms),purecap ABI vs outside compartment,purecap ABI,outside compartment,100,100,1132.5405,1130.323,1132.54987,1130.32753,1.0,1.0019618286100522
500.0,With_Outliers,Read Time (ms),purecap-benchmark ABI vs outside compartment,purecap-benchmark ABI,outside compartment,100,100,403.6815,1412.901,403.68131999999997,1412.90342,-1.0,0.2857111007777615
500.0,With_Outliers,Read Time (ms),purecap ABI vs outside compartment,purecap ABI,outside compartment,100,100,1415.6955,1412.901,1415.6982999999996,1412.90342,1.0,1.0019778455815376
600.0,With_Outliers,Read Time (ms),purecap-benchmark ABI vs outside compartment,purecap-benchmark ABI,outside compartment,100,100,484.4165,1695.492,484.4167999999999,1695.49269,-1.0,0.28570851410681974
600.0,With_Outliers,Read Time (ms),purecap ABI vs outside compartment,purecap ABI,outside compartment,100,100,1698.7925,1695.492,1698.7949200000003,1695.49269,1.0,1.001946632599859
700.0,With_Outliers,Read Time (ms),purecap-benchmark ABI vs outside compartment,purecap-benchmark ABI,outside compartment,100,100,565.153,1978.0825,565.15369,1978.09785,-1.0,0.2857074970331116
700.0,With_Outliers,Read Time (ms),purecap ABI vs outside compartment,purecap ABI,outside compartment,100,100,1981.891,1978.0825,1981.9089200000005,1978.09785,1.0,1.0019253494229892
800.0,With_Outliers,Read Time (ms),purecap-benchmark ABI vs outside compartment,purecap-benchmark ABI,outside compartment,100,100,645.892,2260.6555,645.89317,2260.6604899999993,-1.0,0.28571005179692355
800.0,With_Outliers,Read Time (ms),purecap ABI vs outside compartment,purecap ABI,outside compartment,100,100,2265.053,2260.6555,2265.07545,2260.6604899999993,1.0,1.0019452322567504
900.0,With_Outliers,Read Time (ms),purecap-benchmark ABI vs outside compartment,purecap-benchmark ABI,outside compartment,100,100,726.6275,2543.2335000000003,726.6261,2543.23358,-1.0,0.28571010094039734
900.0,With_Outliers,Read Time (ms),purecap ABI vs outside compartment,purecap ABI,outside compartment,100,100,2548.1665000000003,2543.2335000000003,2548.20456,2543.23358,1.0,1.0019396567401302
1000.0,With_Outliers,Read Time (ms),purecap-benchmark ABI vs outside compartment,purecap-benchmark ABI,outside compartment,100,100,807.366,2825.816,807.3677799999999,2825.817709999999,-1.0,0.28571074691345794
1000.0,With_Outliers,Read Time (ms),purecap ABI vs outside compartment,purecap ABI,outside compartment,100,100,2831.3175,2825.816,2831.33218,2825.817709999999,1.0,1.0019468712754123
100.0,With_Outliers,Allocation Time (ms),purecap-benchmark ABI vs outside compartment,purecap-benchmark ABI,outside compartment,100,100,0.0045000000000000005,0.001,0.08103999999999997,0.0022700000000000003,0.4435,4.5
100.0,With_Outliers,Allocation Time (ms),purecap ABI vs outside compartment,purecap ABI,outside compartment,100,100,0.0075,0.001,0.09338000000000003,0.0022700000000000003,0.7722,7.5
200.0,With_Outliers,Allocation Time (ms),purecap-benchmark ABI vs outside compartment,purecap-benchmark ABI,outside compartment,100,100,0.0025,0.004,0.09215999999999998,0.003580000000000001,0.0294,0.625
200.0,With_Outliers,Allocation Time (ms),purecap ABI vs outside compartment,purecap ABI,outside compartment,100,100,0.008,0.004,0.09767999999999999,0.003580000000000001,0.7829,2.0
300.0,With_Outliers,Allocation Time (ms),purecap-benchmark ABI vs outside compartment,purecap-benchmark ABI,outside compartment,100,100,0.004,0.004,0.09381999999999996,0.00395,-0.015,1.0
300.0,With_Outliers,Allocation Time (ms),purecap ABI vs outside compartment,purecap ABI,outside compartment,100,100,0.009,0.004,0.09881000000000001,0.00395,0.8935,2.25
400.0,With_Outliers,Allocation Time (ms),purecap-benchmark ABI vs outside compartment,purecap-benchmark ABI,outside compartment,100,100,0.006,0.004,0.12149999999999997,0.004510000000000001,0.187,1.5
400.0,With_Outliers,Allocation Time (ms),purecap ABI vs outside compartment,purecap ABI,outside compartment,100,100,0.009,0.004,0.12722999999999998,0.004510000000000001,0.9218,2.25
500.0,With_Outliers,Allocation Time (ms),purecap-benchmark ABI vs outside compartment,purecap-benchmark ABI,outside compartment,100,100,0.006,0.004,0.15317999999999996,0.004560000000000001,0.2347,1.5
500.0,With_Outliers,Allocation Time (ms),purecap ABI vs outside compartment,purecap ABI,outside compartment,100,100,0.009,0.004,0.15861,0.004560000000000001,0.963,2.25
600.0,With_Outliers,Allocation Time (ms),purecap-benchmark ABI vs outside compartment,purecap-benchmark ABI,outside compartment,100,100,0.007,0.005,0.14637999999999995,0.004690000000000001,0.3701,1.4
600.0,With_Outliers,Allocation Time (ms),purecap ABI vs outside compartment,purecap ABI,outside compartment,100,100,0.009,0.005,0.15098999999999996,0.004690000000000001,0.9862,1.7999999999999998
700.0,With_Outliers,Allocation Time (ms),purecap-benchmark ABI vs outside compartment,purecap-benchmark ABI,outside compartment,100,100,0.007,0.005,0.191,0.0048,0.4382,1.4
700.0,With_Outliers,Allocation Time (ms),purecap ABI vs outside compartment,purecap ABI,outside compartment,100,100,0.009,0.005,0.19505000000000003,0.0048,0.959,1.7999999999999998
800.0,With_Outliers,Allocation Time (ms),purecap-benchmark ABI vs outside compartment,purecap-benchmark ABI,outside compartment,100,100,0.009,0.005,0.21312,0.00471,0.7898,1.7999999999999998
800.0,With_Outliers,Allocation Time (ms),purecap ABI vs outside compartment,purecap ABI,outside compartment,100,100,0.011,0.005,0.21617,0.00471,0.9871,2.1999999999999997
900.0,With_Outliers,Allocation Time (ms),purecap-benchmark ABI vs outside compartment,purecap-benchmark ABI,outside compartment,100,100,0.01,0.005,0.28337,0.00454,0.6662,2.0
900.0,With_Outliers,Allocation Time (ms),purecap ABI vs outside compartment,purecap ABI,outside compartment,100,100,0.011,0.005,0.28784,0.00454,0.9998,2.1999999999999997
1000.0,With_Outliers,Allocation Time (ms),purecap-benchmark ABI vs outside compartment,purecap-benchmark ABI,outside compartment,100,100,0.008,0.005,0.24577,0.004569999999999999,0.7973,1.6
1000.0,With_Outliers,Allocation Time (ms),purecap ABI vs outside compartment,purecap ABI,outside compartment,100,100,0.01,0.005,0.24845000000000003,0.004569999999999999,1.0,2.0
100.0,With_Outliers,Free Time (ms),purecap-benchmark ABI vs outside compartment,purecap-benchmark ABI,outside compartment,100,100,0.024,0.004,0.08610999999999999,0.006060000000000001,1.0,6.0
100.0,With_Outliers,Free Time (ms),purecap ABI vs outside compartment,purecap ABI,outside compartment,100,100,0.0265,0.004,0.08892000000000001,0.006060000000000001,1.0,6.625
200.0,With_Outliers,Free Time (ms),purecap-benchmark ABI vs outside compartment,purecap-benchmark ABI,outside compartment,100,100,0.053,0.011,0.21046999999999996,0.010289999999999997,1.0,4.818181818181818
200.0,With_Outliers,Free Time (ms),purecap ABI vs outside compartment,purecap ABI,outside compartment,100,100,0.055,0.011,0.21419999999999997,0.010289999999999997,1.0,5.0
300.0,With_Outliers,Free Time (ms),purecap-benchmark ABI vs outside compartment,purecap-benchmark ABI,outside compartment,100,100,0.074,0.015,0.21912000000000004,0.013420000000000001,1.0,4.933333333333334
300.0,With_Outliers,Free Time (ms),purecap ABI vs outside compartment,purecap ABI,outside compartment,100,100,0.075,0.015,0.22185000000000002,0.013420000000000001,1.0,5.0
400.0,With_Outliers,Free Time (ms),purecap-benchmark ABI vs outside compartment,purecap-benchmark ABI,outside compartment,100,100,0.103,0.015,0.42519000000000007,0.014380000000000002,1.0,6.866666666666666
400.0,With_Outliers,Free Time (ms),purecap ABI vs outside compartment,purecap ABI,outside compartment,100,100,0.106,0.015,0.42965999999999993,0.014380000000000002,1.0,7.066666666666666
500.0,With_Outliers,Free Time (ms),purecap-benchmark ABI vs outside compartment,purecap-benchmark ABI,outside compartment,100,100,0.118,0.016,0.21451999999999993,0.015170000000000001,1.0,7.374999999999999
500.0,With_Outliers,Free Time (ms),purecap ABI vs outside compartment,purecap ABI,outside compartment,100,100,0.12,0.016,0.21675999999999998,0.015170000000000001,1.0,7.5
600.0,With_Outliers,Free Time (ms),purecap-benchmark ABI vs outside compartment,purecap-benchmark ABI,outside compartment,100,100,0.149,0.016,0.4361399999999999,0.016200000000000003,1.0,9.3125
600.0,With_Outliers,Free Time (ms),purecap ABI vs outside compartment,purecap ABI,outside compartment,100,100,0.15,0.016,0.4390599999999999,0.016200000000000003,1.0,9.375
700.0,With_Outliers,Free Time (ms),purecap-benchmark ABI vs outside compartment,purecap-benchmark ABI,outside compartment,100,100,0.179,0.017,0.45301,0.017070000000000002,1.0,10.52941176470588
700.0,With_Outliers,Free Time (ms),purecap ABI vs outside compartment,purecap ABI,outside compartment,100,100,0.18,0.017,0.45278000000000007,0.017070000000000002,1.0,10.588235294117647
800.0,With_Outliers,Free Time (ms),purecap-benchmark ABI vs outside compartment,purecap-benchmark ABI,outside compartment,100,100,0.209,0.018,0.8217800000000001,0.01757,1.0,11.61111111111111
800.0,With_Outliers,Free Time (ms),purecap ABI vs outside compartment,purecap ABI,outside compartment,100,100,0.21,0.018,0.8176399999999998,0.01757,1.0,11.666666666666668
900.0,With_Outliers,Free Time (ms),purecap-benchmark ABI vs outside compartment,purecap-benchmark ABI,outside compartment,100,100,0.238,0.018,0.8177,0.017570000000000002,1.0,13.222222222222223
900.0,With_Outliers,Free Time (ms),purecap ABI vs outside compartment,purecap ABI,outside compartment,100,100,0.239,0.018,0.8162900000000001,0.017570000000000002,1.0,13.277777777777779
1000.0,With_Outliers,Free Time (ms),purecap-benchmark ABI vs outside compartment,purecap-benchmark ABI,outside compartment,100,100,0.238,0.018,0.44254999999999994,0.017799999999999996,1.0,13.222222222222223
1000.0,With_Outliers,Free Time (ms),purecap ABI vs outside compartment,purecap ABI,outside compartment,100,100,0.239,0.018,0.44356999999999985,0.017799999999999996,1.0,13.277777777777779
100.0,Without_Outliers,Write Time (ms),purecap-benchmark ABI vs outside compartment,purecap-benchmark ABI,outside compartment,100,100,40.367,282.5825,40.36876000000001,282.58376999999996,-1.0,0.14285031804871143
